iso3,year,analysis_population_total,gbd_rate_cardiovascular_diseases,gbd_rate_chronic_respiratory_diseases,gbd_rate_neoplasms,gbd_rate_diabetes_kidney,gbd_rate_cardiovascular_diseases_per100k,gbd_rate_chronic_respiratory_diseases_per100k,gbd_rate_neoplasms_per100k,gbd_rate_diabetes_kidney_per100k,life_expectancy,life_expectancy_male,life_expectancy_female,hdi,population_thousands,pop_density,median_age,pop_growth_rate,tfr,wdi_population_65_plus_pct,wdi_population_total,wdi_urban_population_pct,wdi_gdp_per_capita,wdi_gini,dbd_smoking,dbd_pm25,dbd_high_bmi,dbd_high_glucose,dbd_high_sbp,dbd_dietary_risks,dbd_smoking_per100k,dbd_pm25_per100k,dbd_high_bmi_per100k,dbd_high_glucose_per100k,dbd_high_sbp_per100k,dbd_dietary_risks_per100k,wdi_diabetes_prevalence,wdi_pm25,mpower_group,beds_10k,doctors_10k,nurses_10k,uhc_index,che_pct_gdp,che_pc_usd,govt_he_pct,ext_he_pct,wdi_health_expenditure_per_capita,wdi_government_health_expenditure_pct,wdi_external_health_expenditure_pct,wdi_hospital_beds,wdi_physicians,wdi_nurses_midwives,wdi_out_of_pocket_pct,wb_hnp_hci,wb_hnp_skilled_birth_attendance,wb_hnp_immunization_dpt,wb_hnp_immunization_measles,wb_hnp_immunization_hepb3,vulnerability_type_code,vulnerability_type_label,overall_vulnerability_score,burden_pressure_score,risk_pressure_score,combined_pressure_score,resource_response_score,context_support_score,adjusted_response_score,adaptation_gap_score,response_diagnosis_type,component__beds_10k,component__doctors_10k,component__nurses_10k,component__uhc_index,component__che_pct_gdp,component__che_pc_usd,component__govt_he_pct,component__wdi_health_expenditure_per_capita,component__wdi_government_health_expenditure_pct,component__wdi_hospital_beds,component__wb_hnp_immunization_dpt,component__wb_hnp_immunization_measles,component__wb_hnp_immunization_hepb3,component__ext_he_pct,component__wdi_external_health_expenditure_pct,component__wdi_out_of_pocket_pct,weakest_resource_components,dominant_risk_triplet
MUS,2023,1248647.0,4080.855688384113,439.42967527980807,1733.2226827659506,3454.1249362663825,326.8222074280491,35.19246634795968,138.80806046592434,276.6294185839859,74.9263,71.9347,78.1804,0.806,1273.588,627.3833,36.9328,-0.168,1.2407,12.9415870752551,1248647.0,39.0039901092226,143506.58016586822,,1405.5731396053484,945.3632234947104,1981.3494922271425,3757.420400560713,2800.1811266121144,2413.3094027908633,112.56769444089068,75.71100747406676,158.67971430093073,300.9193471462081,224.25722615055452,193.27395194885852,,,,38.041980444,30.15,35.01,75.0,5.56544495,616.20739746,44.32892609,1.96571064,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,0.558749605292208,0.7908570811744386,0.8309225676453655,0.8108898244099021,0.5630543867763338,0.6364505503312831,0.5777336194873237,0.23315620492257838,高压高响应型,0.6444821731748727,0.7090663058186739,0.4415935178933153,0.677461139896373,0.48818723780083906,0.6922227132125497,0.39655553102230073,,,,,,,0.45486647539174574,,,component__govt_he_pct / component__nurses_10k / component__ext_he_pct,高收缩压 / 吸烟 / 高血糖
MWI,2023,21104482.0,18512.823919046143,2328.006418220524,16668.900948798346,6842.693843845658,87.71986878922753,11.030862630130056,78.9827532786559,32.42294145786501,67.3535,64.0726,70.5624,0.517,21104.482,223.205,17.5804,2.574,3.6483,2.59256771636073,21104482.0,16.9748746665356,158581.75295523592,,4439.2837851365375,14982.268646109542,4435.163520113964,4276.277976377871,11736.7515929998,7230.86262002752,21.034791496595545,70.99093285544531,21.015268321269215,20.262416184286685,55.6126020671808,34.262213211523125,,,,,0.83,5.36,52.0,6.53459597,41.26664734,12.81832027,65.50470734,,,,,,,,,,,,,2.0,类型2-低缓冲低承载型,-0.0121458534240983,0.2714810017271157,0.19106217616580312,0.2312715889464594,0.17583470517572825,0.2784570138478432,0.19635916691015126,0.03491242203630815,低压低响应型,,0.06140054127198918,0.0737677245104659,0.27817357512953367,0.5994700816957386,0.1606274856385329,0.04769264738352837,,,,,,,0.009710880600308983,,,component__ext_he_pct / component__govt_he_pct / component__doctors_10k,高收缩压 / 高血糖 / 膳食风险
MYS,2023,35126298.0,66498.75307774179,7087.390539355727,34105.94515999925,13459.806086443225,189.31329762601737,20.176878700271025,97.09518822620949,38.31831662546171,76.6571,74.2722,79.3695,0.819,35126.298,106.9131,30.0576,1.241,1.55,7.45117376160733,35126298.0,76.4434752105739,26969.372034236607,,25679.194817011947,16315.335518575255,11137.492578097444,20982.966615390094,41413.22406287787,29200.10719870463,73.10532643380736,46.44763737577827,31.706992231568055,59.7357757865349,117.8980604869829,83.12890586621064,,,,19.628884298,23.41,40.54,80.0,3.95760036,450.33853149,50.02873993,0.00139224,,,,,,,,,,,,,3.0,类型3-相对稳健型,-0.1404782046936754,0.5008635578583766,0.46772452504317785,0.4842940414507772,0.5404719207394524,0.653344922253241,0.5630465210422101,-0.07875247959143289,相对均衡型,0.35382003395585737,0.571041948579161,0.4962862930452397,0.8287996545768567,0.22102009273570325,0.6235086168802475,0.47626407595495696,,,,,,,0.7530346501875965,,,component__che_pct_gdp / component__beds_10k / component__govt_he_pct,高收缩压 / 高血糖 / 膳食风险
NAM,2023,2963095.0,3012.6221660056053,878.5660989832901,1820.3247019218536,1260.871661058478,101.6714673679246,29.650284549880787,61.43322107194854,42.55252231394802,67.3848,63.3273,71.3374,0.665,2963.095,3.5991,20.9567,2.366,3.2118,3.57118148422511,2963095.0,49.9545837830821,22578.027786259296,,1075.093297833207,1586.3049586201523,1075.9339735119324,1307.0868137624143,1874.9070645081829,1358.2248373266289,36.28278195040008,53.53540668186988,36.31115349025031,44.11221421393557,63.2752937218747,45.83804560186659,,,,,6.44,39.17,66.0,9.48251629,397.09063721,58.50912857,11.38449574,,,,,,,,,,,,,3.0,类型3-相对稳健型,-0.2176138831691246,0.43458549222797926,0.30530368451352907,0.36994458837075417,0.4977137207831343,0.37285031722082873,0.4727410400706732,-0.10279645169991902,低压低响应型,,0.2496617050067659,0.4810938555030385,0.43544905008635576,0.8745860013247958,0.5958904109589042,0.592183705012144,,,,,,,0.255131317589936,,,component__doctors_10k / component__ext_he_pct / component__uhc_index,高收缩压 / 高血糖 / 膳食风险
NER,2023,26159867.0,23342.357240201705,3912.667123021997,8559.507561378556,6052.768630429289,89.22964799554104,14.956754646428427,32.71999647925792,23.137612398523626,61.1833,60.2599,62.1293,0.419,26159.867,20.652,15.2495,3.307,6.0615,2.57103562491354,26159867.0,17.7506873295237,103085.4043171442,,4315.4377246774075,33451.62433821288,2652.8429276987813,5369.100595133489,12812.845819646023,6522.6902722654995,16.496405446852645,127.873831844072,10.140888436851691,20.52418919076878,48.97901743784104,24.93395808268253,,,,,0.38,4.21,39.0,4.04895782,26.01301575,24.00525284,14.5821228,,,,,,,,,,,,,2.0,类型2-低缓冲低承载型,-0.1512243254242094,0.14523963730569947,0.19397668393782386,0.16960816062176165,0.13085324605272694,0.2310205319564405,0.15088670323346967,0.01872145738829198,低压低响应型,,0.015730717185385656,0.04945982444294396,0.15177029360967184,0.2366968425701038,0.08904109589041095,0.1521307131817178,,,,,,,0.22114323548885456,,,component__doctors_10k / component__nurses_10k / component__che_pc_usd,高收缩压 / 高血糖 / 膳食风险
NGA,2023,227882945.0,230227.98091195317,28662.167750395864,115712.88622457183,62769.47226155275,101.02905283761064,12.577583526663595,50.77733492718019,27.54461166962396,54.4623,54.176,54.7431,0.56,227882.945,250.2091,17.7545,2.096,4.4817,3.02816298955589,227882945.0,62.1746763155343,331049.976423582,,20708.395026689945,205752.94096249485,57496.13779461033,52038.27334522149,146017.99752940284,68866.81156088268,9.087294806853556,90.28887219379004,25.230557642043077,22.8355278387426,64.0758778720377,30.22025696608523,,,,,3.8,,47.0,3.8615799,61.56990051,14.13840103,12.24017048,,,,,,,,,,,,,2.0,类型2-低缓冲低承载型,-0.3091132902934995,0.21831822107081178,0.2152777777777778,0.21679799942429478,0.19575302833201325,0.45939772229514175,0.24848196712463896,-0.03168396770034418,低压低响应型,,0.19164411366711773,,0.23585924006908462,0.2060057407816295,0.23972602739726026,0.056745418414661075,,,,,,,0.2445376296623262,,,component__govt_he_pct / component__doctors_10k / component__che_pct_gdp,高收缩压 / 高血糖 / 膳食风险
NIC,2023,6823613.0,7350.133693406059,1436.814124445017,4377.7805087115685,5251.715998431236,107.7161570183722,21.05650077818037,64.1563422297186,76.96386061799278,74.9468,72.305,77.4185,0.706,6823.613,56.7028,25.2669,1.362,2.218,5.37928367274053,6823613.0,59.1250953674316,20807.204237061465,,1617.6653389324963,3674.5643999234057,3323.333356551718,4155.320848730084,5542.445989407093,4243.055080169767,23.70687404066579,53.85071515520305,48.70342671179796,60.89619749434917,81.2245065686916,62.181942032318766,,,,,,,70.0,8.29879284,216.55238342,57.42655945,3.41096878,,,,,,,,,,,,,3.0,类型3-相对稳健型,-0.2092738513296599,0.4770617443868739,0.38637017846862404,0.43171596142774893,0.5521699522554202,0.46814877013246087,0.5353657158308284,-0.10364975440307944,相对均衡型,,,,0.5454447322970639,0.7805255023183926,0.45625276182059216,0.5789357474056083,,,,,,,0.3996910174354447,,,component__ext_he_pct / component__che_pc_usd / component__uhc_index,高收缩压 / 高血糖 / 膳食风险
NLD,2023,17877117.0,39933.56121888888,11140.292604404993,57263.990256813704,7809.663628634058,223.3780828244782,62.315934970974304,320.32005080468906,43.685252094250195,82.1576,80.5385,83.7385,0.955,18092.524,537.3326,41.3962,0.807,1.43,20.1567559021407,17877117.0,95.3221682092129,53197.69083836658,,20706.24700846638,5189.555180102553,10681.362611805098,12405.925133917995,20672.406266833048,12689.431473096112,115.82542648496612,29.029038519480256,59.748798488062135,69.3955582095144,115.63613006970336,70.98141984021312,,,,,38.68,112.31,85.0,9.83150005,6371.85595703,68.36824799,0.01048008,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,-0.1589005481111218,0.7845423143350605,0.5276698330454808,0.6561060736902706,0.8718769511331058,0.889303547269839,0.8753622703604526,-0.21925619667018192,相对均衡型,,0.8837956698240866,0.9334908845374746,0.9547711571675302,0.893353941267388,0.9774635439681838,0.7268712740119232,,,,,,,0.7333921871551534,,,component__govt_he_pct / component__ext_he_pct / component__doctors_10k,高收缩压 / 吸烟 / 高血糖
NOR,2023,5519601.0,11120.261758129152,3511.895180767318,12958.755907475705,1648.4890896120205,201.46858003194708,63.625888551859425,234.7770410845948,29.866091581837537,83.3078,81.7482,84.8487,0.97,5519.167,18.1417,39.5397,1.109,1.4048,18.5338475896816,5519601.0,83.0718560702166,279193.07929352357,26.5,3280.1453104477455,487.86876724758287,2477.596654152099,3538.4853026479677,5737.904254962443,3890.187836935169,59.42721784505339,8.838841199709597,44.88724192477135,64.10762847981164,103.95505499333092,70.47951177875301,,,,32.992291592,49.75,160.4,89.0,9.42925453,8296.35546875,86.10611725,0.0,,,,,,,,,,,,,3.0,类型3-相对稳健型,-0.4927502311083463,0.6659650259067357,0.41706246401842256,0.5415137449625791,0.9055358392251767,0.9167271924062025,0.9077741098613819,-0.36626036489880276,相对均衡型,0.5786078098471986,0.9668470906630582,0.9895340985820391,0.9933074265975821,0.8712740119231619,0.9924878479893946,0.9735040847869287,,,,,,,0.8787243434120503,,,component__beds_10k / component__che_pct_gdp / component__ext_he_pct,高收缩压 / 高血糖 / 膳食风险
NPL,2023,29694614.0,49234.89166218542,28746.70039485903,17033.373224728766,11241.34795108699,165.80411404635677,96.8077928032977,57.36182738300207,37.85652156006133,70.3537,68.8354,71.8366,0.622,29694.614,201.7558,24.679,-0.139,1.9841,6.36058770858938,29694614.0,66.5432933453944,40056.523611379824,,28155.049718121245,41315.70549356423,6887.5523492005805,14441.774547292223,23018.259210875192,17175.875239921836,94.8153416579897,139.13535125785515,23.19461821999296,48.63432320518537,77.51661365551071,57.84171917480334,,,,5.393233938,10.11,40.92,58.0,6.15843678,83.96018982,31.30563164,6.9469142,,,,,,,,,,,,,1.0,类型1-高负担转型承压型,0.163074847716463,0.5739421416234888,0.49233592400690845,0.5331390328151986,0.32823134221700917,0.5174574886776508,0.3660765715091375,0.16706246130606106,相对均衡型,0.050933786078098474,0.3325439783491204,0.5,0.33560017271157166,0.5612718039302275,0.30380026513477687,0.2230072863766836,,,,,,,0.3186934451555948,,,component__beds_10k / component__govt_he_pct / component__che_pc_usd,高收缩压 / 吸烟 / 高血糖
